DENOMINAZIONE,COMUNE,PROVINCIA,TELEFONO,EMAIL,AREA,SERVIZI,ATTIVITA,TIPOLOGIE PERSONE SVANTAGGIATE,WGS84_Y,WGS84_X,location
SAN MARTINO - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Sarezzo,BS,030801898,segreteria@scuolachizzolini.it,Educativa,Altro,,,45.66303545,10.19775994,"(45.66303545, 10.19775994)"
ASSISTENZA AMICA - SOCIETA' COOPERATIVA SOCIALE,Seregno,MB,0362241133,,Anziani,"Assistenza Domiciliare infermieristica, Casa Soggiorno per anziani",,,45.65627783,9.20430752,"(45.65627783, 9.20430752)"
IL MOSAICO - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Lumezzane,BS,030829690,coopmosaico@libero.it,"Disagio Giovanile, Educativa, Famiglia, Minori, Prevenzione del disagio","Altro, Animazione culturale  e territoriale, Assistenza domiciliare minori, Attività Extra scolastiche a minori, Casa Vacanza, Centro di Aggregazione Giovanile, Mediazione culturale e/o linguistica",,,45.6499156,10.27471574,"(45.6499156, 10.27471574)"
LA CAVEDA - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Rudiano,BS,0307101128,nucleo@spidernet.it,,,"Apertura e chiusura parchi, Gestione mense, Manutenzione verde, Pulizia ambienti, Spazzamento e pulizia strade, Tinteggiatura","Disabili, Tossicodipendenti, Alcooldipendenti",45.48759129,9.88486607,"(45.48759129, 9.88486607)"
NEVER LAND SOCIETA' COOPERATIVA SOCIALE,Bodio Lomnago,VA,3381835801,mery_neverland@yahoo.it,"Anziani, Disagio Giovanile, Educativa, Famiglia, Minori, Prevenzione del disagio, Stranieri","Assistenza Domiciliare integrata Anziani, Assistenza Pre e Post Scolastica, Servizio inserimenti lavorativi",,,45.794044,8.74942752,"(45.794044, 8.74942752)"
CENTRO DONNE MANTOVA SOCIETA' COOPERATIVA SOCIALE ONLUS,Virgilio,MN,3899151596,michele.scansani@gmail.com,Altro,"Centro di Ascolto - Segretariato, Formazione - Consulenza - Progettazione",,,45.11741839,10.79599246,"(45.11741839, 10.79599246)"
TEATRO DEL SOLE COOPERATIVA SOCIALE O.N.L.U.S,Cocquio-Trevisago,VA,3483957552,amministrazione@teatrodelsole.org,"Disabili/Handicappati, Disagio Giovanile, Educativa, Famiglia, Minori, Prevenzione del disagio, Stranieri",Animazione culturale  e territoriale,,,45.8720479,8.69258501,"(45.8720479, 8.69258501)"
IRIS - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Darfo Boario Terme,BS,0364531972,iriscoop.sociale@tin.it,,,"Facchinaggio e traslochi, Gestione mense, Pulizia ambienti","Disabili, Pazienti psichiatrici, Tossicodipendenti, Alcooldipendenti",45.87887405,10.18608513,"(45.87887405, 10.18608513)"
LA MINIERA SOCIETA' COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA,Mornico al Serio,BG,035 4490491,coop-laminiera@tiscali.it,,,"Gestione isola ecologica, Pulizia ambienti, Raccolta differenz., Recupero e vendita beni usati, Sgomberi locali, Spazzamento e pulizia strade",Disabili,45.59131124,9.7879502,"(45.59131124, 9.7879502)"
SOL.CO TRASPORTI - SOCIETA' COOPERATIVA SOCIALE,Sermide,MN,03761875989,info@solcotrasporti.it,,,,,44.99819432,11.29590582,"(44.99819432, 11.29590582)"
CASA AMICA - SOCIETA' COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA,Merate,LC,0399907038,casa-amica@promo.it,Disabili/Handicappati,Centro socio educativo,,,45.69318105,9.4266492,"(45.69318105, 9.4266492)"
ITACA SOCIETA' COOPERATIVA SOCIALE A R.L. - ONLUS,Gallarate,VA,3335999502,itaca.cooperativa@gmail.com,"Disagio Giovanile, Educativa, Minori, Prevenzione del disagio, Stranieri","Asilo Nido, Assistenza Pre e Post Scolastica, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Scuola materna",,,45.65813595,8.7827945,"(45.65813595, 8.7827945)"
SELENE - COOPERATIVA SOCIALE ONLUS,Ghedi,BS,030902365,coop.selene@libero.it,,,Pulizia ambienti,"Disabili, Pazienti psichiatrici",45.38747285,10.29001157,"(45.38747285, 10.29001157)"
STELLA ALPINA SOCIETA' COOPERATIVA SOCIALE DELL'ALTA VALLE CAMONIC,Ponte di Legno,BS,0364929824,COOP@ALTAVALLE.NET,,,"Manutenzione stabili, Manutenzione verde, Pulizia ambienti, Spazzamento e pulizia strade","Disabili, Tossicodipendenti, Alcooldipendenti",46.25743995,10.50942996,"(46.25743995, 10.50942996)"
LIBERI SOGNI SOCIETA' COOPERATIVA SOCIALE A R.L.,Calolziocorte,LC,0341611332,liberisogni@gmail.com,"Disagio Giovanile, Educativa, Minori, Prevenzione del disagio","Altro, Animazione culturale  e territoriale",,,45.7923896,9.45658654,"(45.7923896, 9.45658654)"
IRIS ACCOGLIENZA - COOPERATIVA SOCIALE - O.N.L.U.S.,Gallarate,VA,0331795229,amministrazione@irisaccoglienza.it,Disabili/Handicappati,Centri di Formazione per Handicappati,,,45.6569399,8.78056517,"(45.6569399, 8.78056517)"
IL CEDRO COOPERATIVA SOCIALE A R.L.,Vimercate,MB,0396080814,info@ilcedrocoop.it,,,"Altro, Manutenzione verde","Disabili, Tossicodipendenti, Alcooldipendenti",45.61752689,9.34916365,"(45.61752689, 9.34916365)"
PORTA APERTA SOCIETA' COOPERATIVA SOCIALE ONLUS,Roncoferraro,MN,3406024107,info@portaaperta.it,"Alcooldipendenza, Altro, Detenuti, Educativa, Stranieri, Tossicodipendenza","Altro, Comunità Accoglienza residenziale, Educatori di Strada, Mediazione culturale e/o linguistica",,,45.09691362,10.95921449,"(45.09691362, 10.95921449)"
LA TORRETTA SOCIETA' COOPERATIVA SOCIALE,Casteggio,PV,038359194,,"Anziani, Psichiatria","Assistenza Domiciliare integrata Anziani, Comunità Protetta Psichiatrica, Residenza Sanitaria assistenziale per anziani",,,45.01563508,9.12833365,"(45.01563508, 9.12833365)"
LA.CO.SA COOPERATIVA SOCIALE O.N.L.U.S.,Mantova,MN,03761961419,depressionisfashion@gmail.com,,,"Confezionamenti vari, Manutenzione verde",Pazienti psichiatrici,45.15760248,10.79043705,"(45.15760248, 10.79043705)"
ARCIPELAGO COOPERATIVA SOCIALE,Cinisello Balsamo,MI,026185899,info@arcipelagoanffas.it,Educativa,Centro di formazione per disabili,,,45.5607323,9.20690442,"(45.5607323, 9.20690442)"
GRAFFITI SOCIETA' COOPERATIVA SOCIALE,Milano,MI,02 36522149,coopgraffiti@inwind.it,Disabili/Handicappati,Altro,,,45.44303569,9.15804928,"(45.44303569, 9.15804928)"
MAR MULTISERVIZI COOPERATIVA SOCIALE - ONLUS,Varese,VA,3496881334,,"Alcooldipendenza, Anziani, Detenuti, Disabili/Handicappati, Disagio Giovanile, Educativa, Emarginazione Sociale, Famiglia, Malati AIDS, Minori, Prevenzione del disagio, Psichiatria, Stranieri, Tossicodipendenza",Casa Soggiorno per anziani,,,45.81581901,8.83157122,"(45.81581901, 8.83157122)"
ORA D'ARIA COOPERATIVA SOCIALE ONLUS,Robecco sul Naviglio,MI,3476126783,oradariacoop@tiscali.it,"Anziani, Disabili/Handicappati, Famiglia","Altro, Assistenza Domiciliare integrata Disabili",,,45.4322078,8.86946295,"(45.4322078, 8.86946295)"
IL GECO SOCIETA' COOPERATIVA SOCIALE O.N.L.U.S.,Milano,MI,3492701353,,"Disagio Giovanile, Educativa, Emarginazione Sociale, Famiglia, Minori, Prevenzione del disagio, Stranieri","Assistenza Pre e Post Scolastica, Assistenza scolastica ""ad personam"", Formazione - Consulenza - Progettazione, Formazione del personale",,,45.45899969,9.1806264,"(45.45899969, 9.1806264)"
ARCOIRIS SOCIETA' COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA,Pusiano,CO,0316579004,info@arcoiriscooperativa.com,"Anziani, Disabili/Handicappati, Educativa, Famiglia, Minori, Prevenzione del disagio","Altro, Attività Extra scolastiche a minori, Formazione - Consulenza - Progettazione",,,45.81358061,9.2870203,"(45.81358061, 9.2870203)"
SAN CARLO SOCIETA' COOPERATIVA SOCIALE DI SOLIDARIETA' - ONLUS,Tradate,VA,0331849796,info@cooperativasancarlo-it,,,"Assembl. meccanici, Assemblaggio elett., Confezionamenti vari, Consegna pasti, Pulizia ambienti","Disabili, Pazienti psichiatrici",45.71532656,8.9059514,"(45.71532656, 8.9059514)"
IL SEME SOCIETA' COOPERATIVA SOCIALE,Lazzate,MB,0296320764,,,,"Assembl. meccanici, Confezionamenti vari, Volantinaggio",Disabili,45.67070369,9.08613465,"(45.67070369, 9.08613465)"
RESIDENZE IRIS - COOPERATIVA SOCIALE - O.N.L.U.S.,Gallarate,VA,0331361808,info@residenzeiris.it,Anziani,Casa Albergo per anziani,,,45.66029304,8.78651354,"(45.66029304, 8.78651354)"
MATER TAGESMUTTER- SERVIZI ALLE FAMIGLIE COOPERATIVA SOCIALE,Mantova,MN,3409058314,,"Educativa, Famiglia, Minori, Prevenzione del disagio","Altro, Animazione, Assistenza Pre e Post Scolastica",,,45.15904002,10.79810651,"(45.15904002, 10.79810651)"
ENERGICAMENTE COOPERATIVA SOCIALE,Castellanza,VA,0331-1710846,,"Disagio Giovanile, Educativa, Famiglia, Minori","Assistenza Pre e Post Scolastica, Istituti scolastici primo e secondo grado, Scuole Materne",,,45.60892746,8.91231538,"(45.60892746, 8.91231538)"
S.RICCARDO COOPERATIVA SOCIALE - ONLUS,Copiano,PV,038228850,pavia@confcooperative.it,"Emarginazione Sociale, Minori",Istituti Educativi Assistenziali per minori,,,45.19804357,9.32194944,"(45.19804357, 9.32194944)"
IL MOSAICO SOCIETA' COOPERATIVA SOCIALE - ONLUS,Lurano,BG,035571515,luca.ronzoni@cooperativailsegno.it,"Detenuti, Disagio Giovanile, Emarginazione Sociale, Minori, Prevenzione del disagio, Stranieri","Altro, Comunità per minori, Educatori di Strada",,,45.56674701,9.63811679,"(45.56674701, 9.63811679)"
IL BRUGO SOCIETA' COOPERATIVA SOCIALE O.N.L.U.S.,Brugherio,MB,0392871881,info@coopilbrugo.it,Disabili/Handicappati,"Altro, Assistenza scolastica ""ad personam"", Centro socio educativo, Servizi di formazione all'autonomia",,,45.55009011,9.3055216,"(45.55009011, 9.3055216)"
IL VILLAGGIO IN CITTA' SOCIETA' COOPERATIVA SOCIALE,Busto Arsizio,VA,0331633699,canestropozzi@ilvillaggioincitta.it,"Disagio Giovanile, Educativa, Famiglia, Minori, Prevenzione del disagio","Asilo Nido, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Centro Ricreativo diurno minori, Formazione - Consulenza - Progettazione",,,45.61323579,8.85262696,"(45.61323579, 8.85262696)"
SOLIDARIETA' E SERVIZI COOPERATIVA SOCIALE,Busto Arsizio,VA,0331336350,info@solidarietaeservizi.it,"Altro, Disabili/Handicappati, Emarginazione Sociale, Famiglia, Minori","Alloggi protetti, Altro, Assistenza Domiciliare integrata Disabili, Centro Diurno per disabili, Centro di Ascolto - Segretariato, Centro socio educativo, Comunità socio sanitaria per disabili, Servizi di formazione all'autonomia, Servizio inserimenti lavorativi, Trasporto persone in situazione di bisogno",,,45.61750497,8.84886345,"(45.61750497, 8.84886345)"
COOPERATIVA SOCIALE SAN ROCCO ONLUS - IN LIQUIDAZIONE,Offanengo,CR,0373243203,L.Cavalli@offanengoservizi.it,"Anziani, Disabili/Handicappati","Assistenza Pre e Post Scolastica, Assistenza scolastica ""ad personam"", Residenza Sanitaria assistenziale per anziani",,,45.3838728,9.74156118,"(45.3838728, 9.74156118)"
LA PIANURA SOCIETA' COOPERATIVA SOCIALE ONLUS,Milano,MI,0263671342,,Anziani,Residenza Sanitaria assistenziale per anziani,,,45.46723471,9.18280309,"(45.46723471, 9.18280309)"
COORO SOCIETA' COOPERATIVA SOCIALE - O.N.L.U.S.,Milano,MI,3484752995,,,,Altro,Disabili,45.45686644,9.1749821,"(45.45686644, 9.1749821)"
PRIMA I BAMBINI - COOPERATIVA SOCIALE ONLUS,Lecco,LC,0341350592,corti.molinari@tiscali.it,"Disabili/Handicappati, Educativa, Minori","Animazione, Assistenza scolastica ""ad personam"", Centri di prima infanzia, Formazione - Consulenza - Progettazione",,,45.85571394,9.38907607,"(45.85571394, 9.38907607)"
COOPERATIVA SOCIALE CENTRO SERVIZI ASSISTENZIALI O.N.L.U.S.,San Giorgio di Lomellina,PV,038173703,,Educativa,Altro,,,45.1775816,8.7921311,"(45.1775816, 8.7921311)"
TEMPO PER L'INFANZIA COOPERATIVA SOCIALE A R .L.,Milano,MI,022578393,info@tempoperlinfanzia.it,"Disabili/Handicappati, Disagio Giovanile, Educativa, Emarginazione Sociale, Famiglia, Minori, Prevenzione del disagio, Stranieri","Altro, Animazione, Animazione culturale  e territoriale, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Centro Ricreativo diurno minori, Centro di Aggregazione Giovanile, Centro di Ascolto - Segretariato, Educatori di Strada, Istituti scolastici primo e secondo grado, Mediazione culturale e/o linguistica, Progettazione servizi sperimentali, Servizio inserimenti lavorativi",,,45.5070089,9.2228419,"(45.5070089, 9.2228419)"
COOPERATIVA SOCIALE CITTA' GIARDINO A R.L.,Cavenago di Brianza,MB,0245075420,commerciale@cittagiardino.net,,,"Altro, Gestione isola ecologica, Raccolta differenz., Trasporto merci","Disabili, Pazienti psichiatrici, Tossicodipendenti, Alcooldipendenti",,,
ADELANTE DOLMEN SOCIETA' COOPERATIVA SOCIALE,Milano,MI,0230328229,amalia.vaglia@adcoop.it,,,"Altro, Servizi di informat.",Disabili,,,
ESSERCI COOPERATIVA SOCIALE,Concorezzo,MB,0229522002,cometti@fondazionemaddalenagrassi.it,Malati AIDS,Comunità alloggio per malati di AIDS,,,,,
LA COMETA SOCIETA' COOPERATIVA SOCIALE,Bagnolo San Vito,MN,0376414499,cooplacometa@gmail.com,,,"Altro, Confezionamenti vari",Disabili,45.097309,10.8513103,"(45.097309, 10.8513103)"
SOS VILLAGGIO DEL FANCIULLO FEDERICO PAVESI SOCIETA' COOPERATIVA SOCIALE - ONLUS,Varese,VA,0332826009,VILLAGGIOSOS.MOROSOLO@NGI.IT,"Educativa, Famiglia, Minori","Attività Extra scolastiche a minori, Comunità Alloggio per adulti, Comunità per minori, Micronidi, Servizi di formazione all'autonomia",,,45.8240439,8.7607713,"(45.8240439, 8.7607713)"
COOPERATIVA SOCIALE PIER GIORGIO FRASSATI,Seveso,MB,0362650873,nuccia.sanvito@frassati.it,"Disabili/Handicappati, Disagio Giovanile, Educativa, Minori",Istituti scolastici primo e secondo grado,,,,,
EDUCARE SOCIETA' COOPERATIVA SOCIALE - ONLUS,Valbrembo,BG,035 527070,progetti@coesi.coop,"Altro, Educativa, Famiglia",Altro,,,,,
LABANDA COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA - ONLUS,Busto Arsizio,VA,0331680318,info@labandacoop.it,"Disagio Giovanile, Educativa, Famiglia, Minori, Prevenzione del disagio","Alloggi protetti, Altro, Animazione culturale  e territoriale, Asilo Nido, Assistenza domiciliare minori, Attività Extra scolastiche a minori, Formazione - Consulenza - Progettazione, Micronidi",,,45.6211716,8.8425987,"(45.6211716, 8.8425987)"
GAIA - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Lumezzane,BS,0308925334,gaia@cooplume.it,"Alcooldipendenza, Detenuti, Disagio Giovanile, Educativa, Famiglia, Psichiatria, Tossicodipendenza","Altro, Comunità Protetta Psichiatrica, Comunità Terapeutica Tossicodipendenti, Formazione - Consulenza - Progettazione",,,,,
LA MUGGIASCA-COOPERATIVA SOCIALE DI SOLIDARIETA' A RESPONSABILITA' LIMITATA,Vendrogno,LC,0341930724,LAMUGG00@cooperativamuggiasca.191.it,Anziani,Residenza Sanitaria assistenziale per anziani,,,,,
ARCOBALENO COOPERATIVA SOCIALE ONLUS,Stazzona,CO,034485105,dott.lucagaffuri.como@professionisticomo,Educativa,Scuola materna,,,,,
VALLE CAMONICA SOLIDALE SOCIETA' COOPERATIVA SOCIALE ONLUS,Lozio,BS,0364896019,VALLECAMONICASOLIDALE@OPEN.LEGALMAIL.IT,,,,,,,
LA FONTANA - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Lumezzane,BS,0308925334,lafontana@cooplume.it,,,"Assembl. meccanici, Confezionamenti vari, Gestione isola ecologica, Manutenzione verde, Orto-floro-vivaismo, Raccolta differenz., Spazzamento e pulizia strade, Tessitura in genere, Trasporto merci","Disabili, Tossicodipendenti, Alcooldipendenti",,,
GARGANTUA COOPERATIVA SOCIALE II,Agrate Brianza,MB,0396890266,,,,"Altro, Gestione bar",Disabili,,,
INSIEME SOCIETA' COOPERATIVA SOCIALE O.N.L.U.S.,Ospitaletto,BS,3203266599,malika0205@yahoo.fr,"Anziani, Disabili/Handicappati, Stranieri",Residenza Sanitaria assistenziale per anziani,,,,,
INTRECCIO SOCIETA' COOPERATIVA SOCIALE ONLUS,Remedello,BS,3204027337,,"Anziani, Disabili/Handicappati, Disagio Giovanile, Educativa, Emarginazione Sociale, Famiglia, Minori, Prevenzione del disagio","Asilo Nido, Attività Extra scolastiche a minori, Formazione - Consulenza - Progettazione",,,,,
CA' AL DEL MANS COOPERATIVA SOCIALE ONLUS,Serina,BG,0345-66152,progetti@coesi.coop,,,"Agricola, Altro, Orto-floro-vivaismo",Disabili,,,
AVALON COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA - ONLUS,Daverio,VA,0332948863,info@avalon.va.it,"Educativa, Minori, Prevenzione del disagio",Asilo Nido,,,45.7750693,8.7767914,"(45.7750693, 8.7767914)"
NOVA TERRA SOCIETA' COOPERATIVA SOCIALE,Buccinasco,MI,0248843736,direzionenovaterra@libero.it,Educativa,"Altro, Assistenza Pre e Post Scolastica, Assistenza scolastica ""ad personam"", Istituti scolastici primo e secondo grado",,,,,
GEA SOCIETA' COOPERATIVA SOCIALE - ONLUS,Cornaredo,MI,3470092343,gea-2001@libero.it,"Disagio Giovanile, Famiglia, Prevenzione del disagio",Istituti scolastici primo e secondo grado,,,45.5032797,9.027897,"(45.5032797, 9.027897)"
VESTI SPERANZA SOCIETA' COOPERATIVA SOCIALE,Abbiategrasso,MI,029790387,info@consorzioet.it,,,Altro,Disabili,45.4020901,8.915326,"(45.4020901, 8.915326)"
VIELLE COOPERATIVA SOCIALE ONLUS,Barzanò,LC,0399279274,,,,"Altro, Confezionamenti vari",Disabili,45.7275935,9.3144332,"(45.7275935, 9.3144332)"
KARPION SOCIETA' COOPERATIVA SOCIALE ONLUS,Colico,LC,3495761079,info@karpion.it,Minori,Comunità famigliari,,,46.131472,9.3686361,"(46.131472, 9.3686361)"
RAPHAEL - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Iseo,BS,0309969662,info@raphael.coop,Altro,Altro,,,,,
C S & L CONSORZIO SOCIALE,Cavenago di Brianza,MB,0295339594,info@consorziocsel.it,,,,,,,
LE BETULLE COOPERATIVA SOCIALE - ONLUS,Cremeno,LC,0341918559,cooplebetulle@libero.it,"Anziani, Disabili/Handicappati, Psichiatria","Altro, Comunità Alloggio per adulti",,,,,
CITTA' E SALUTE - COOPERATIVA SOCIALE A R.L. CON SIGLA CS.CS. - COOP. SOCIALE A R.L.,Milano,MI,0269311971,cittaesalute@email.it,,,"Altro, Pulizia ambienti, Raccolta differenz., Recupero e vendita beni usati","Disabili, Pazienti psichiatrici",45.4931124,9.1881009,"(45.4931124, 9.1881009)"
COOPERATIVA SOCIALE EZIO SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,Pieve Emanuele,MI,0290720615,coopezio@tiscali.it,,,"Gestione isola ecologica, Manutenzione verde, Pulizia ambienti, Trasporto merci",Disabili,,,
GRUPPO INFERMIERI PROFESSIONALI - COOPERATIVA SOCIALE ONLUS IN SIGLA G.I.P. COOPERATIVA SOCIALE ONLUS,Como,CO,031271586,,Anziani,Assistenza Domiciliare integrata Anziani,,,,,
CO.A.FRA.- SOCIETA' AGRICOLA COOPERATIVA SOCIALE,Cernusco sul Naviglio,MI,029249433,,,,"Agricola, Allevamento, Altro","Detenuti, Tossicodipendenti, Alcooldipendenti",,,
"BERAKAH, SOCIETA' COOPERATIVA SOCIALE",Pagazzano,BG,0363382837,amministrazione@berakah.it,,,"Gestione isola ecologica, Manutenzione verde, Pulizia ambienti, Raccolta differenz., Spazzamento e pulizia strade","Disabili, Pazienti psichiatrici, Tossicodipendenti, Alcooldipendenti",45.5270217,9.6643845,"(45.5270217, 9.6643845)"
A STEFANO CASATI SOCIETA' COOPERATIVA SOCIALE - O.N.L.U.S.,Albairate,MI,0294964953,amministrazione@casaticoop.it,"Alcooldipendenza, Detenuti, Disagio Giovanile, Educativa, Minori, Stranieri, Tossicodipendenza","Assistenza Pre e Post Scolastica, Comunità Terapeutica Tossicodipendenti, Comunità educative, Comunità per minori",,,,,
BIENNESE SOCIETA' COOPERATIVA SOCIALE - ONLUS,Bienno,BS,036440085,info@biennesecoopsociale.it,,,"Gestione isola ecologica, Gestione mense, Manutenzione verde, Pulizia ambienti, Raccolta differenz., Spazzamento e pulizia strade","Disabili, Tossicodipendenti, Alcooldipendenti",,,
COOPERATIVA SOCIALE PRIMAVERA - SOCIETA' COOPERATIVA IN LIQUIDAZIONE,Pavone del Mella,BS,0309959551,primaverasociale@legalmail.it,"Anziani, Minori","Assistenza Domiciliare integrata Anziani, Scuola materna",,,,,
IS.PA.RO. SOCIETA' COOPERATIVA SOCIALE - ONLUS,Corte Franca,BS,0309821902,samanta@cascinaclarabella.it,,,"Lavanderia, Manutenzione verde, Pulizia ambienti, Servizi cimiteriali","Disabili, Pazienti psichiatrici, Tossicodipendenti, Alcooldipendenti",,,
IL SENTIERO SOCIETA' COOPERATIVA SOCIALE,Merate,LC,0245471898,ilsentiero@ilsentiero.org,"Famiglia, Minori","Comunità educative, Comunità per minori",,,,,
LE PLEIADI SOCIETA' COOPERATIVA SOCIALE O.N.L.U.S.,Lodi,LO,037150960,lepleiadi2002@teletu.it,,,"Confezionamenti vari, Gestione bar, Manutenzione verde, Pulizia ambienti","Detenuti, Disabili, Tossicodipendenti, Alcooldipendenti",,,
IL GERMOGLIO - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Iseo,BS,030 9821836,ilgermoglioiseo@tin.it,Disabili/Handicappati,Centro Diurno per disabili,,,,,
SOCIETA' COOPERATIVA SOCIALE IN-PRESA,Carate Brianza,MB,0362905981,info@in-presa.it,"Disagio Giovanile, Educativa, Minori, Prevenzione del disagio","Altro, Assistenza Pre e Post Scolastica, Formazione - Consulenza - Progettazione, Servizio inserimenti lavorativi",,,,,
DON LEONE LEONI SOCIETA' COOPERATIVA SOCIALE ONLUS,Caravaggio,BG,036353460,,Minori,Istituti scolastici primo e secondo grado,,,45.4980613,9.6460876,"(45.4980613, 9.6460876)"
L'AURORA COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA - ONLUS,Domaso,CO,034497481,coopsocaurora@libero.it,,,"Gestione biblioteche e musei, Gestione mense, Pulizia ambienti",Disabili,46.1527581,9.3292492,"(46.1527581, 9.3292492)"
COOPERATIVA SOCIALE SIM-PATIA SERVIZI ALLA PERSONA - SOCIETA' COOPERATIVA,Como,CO,031806030,oreste.ronchetti@sim-patia.it,Disabili/Handicappati,"Altro, Assistenza Domiciliare integrata Anziani, Assistenza Domiciliare integrata Disabili",,,45.7023788,9.0375999,"(45.7023788, 9.0375999)"
NUOVI ORIZZONTI SOCIETA' COOPERATIVA SOCIALE,Albino,BG,035712739,giuseppe.zucca@pecsicura.it,Educativa,Formazione - Consulenza - Progettazione,,,45.7598528,9.7894269,"(45.7598528, 9.7894269)"
CASCINA CLARABELLA - CONSORZIO DI COOPERATIVE SOCIALI - SOCIETA' COOPERATIVA SOCIALE ONLUS,Corte Franca,BS,0309821902,consorzio@cascinaclarabella.it,,,,,,,
IL SANDALO SOCIETA' COOPERATIVA SOCIALE - ONLUS,Provaglio d'Iseo,BS,0309823820,0309823820,,,"Gestione isola ecologica, Pulizia ambienti, Raccolta differenz., Trasporto persone","Disabili, Tossicodipendenti, Alcooldipendenti",,,
ZANZEBIA SOCIETA' COOPERATIVA SOCIALE - ONLUS,Ghedi,BS,0303771360,manuelaguido@virgilio.it,"Disabili/Handicappati, Educativa",Asilo Nido,,,,,
PEPITA SOCIETA' COOPERATIVA SOCIALE ONLUS,Robecco sul Naviglio,MI,0266980931,ivano.zoppi@pepita.it,"Disagio Giovanile, Educativa, Famiglia, Minori, Prevenzione del disagio","Animazione, Attività Extra scolastiche a minori, Centro socio educativo, Formazione - Consulenza - Progettazione, Istituti scolastici primo e secondo grado",,,45.4364433,8.8886823,"(45.4364433, 8.8886823)"
AIRONE - SOCIETA' COOPERATIVA SOCIALE ONLUS,Pompiano,BS,0309460444,coop-airone@ibero.it,,,"Altro, Confezionamenti vari","Disabili, Pazienti psichiatrici",,,
"LA SVEGLIA SOCIETA' COOPERATIVA SOCIALE, VALIDAMENTE IDENTIFICATA IN SIGLA ANCHE COME LA SVEGLIA S.C.S. ONLUS; LA SVEGLIA S.C.S.",Varzi,PV,038228850,amministrazione@uniserv.it,"Anziani, Disabili/Handicappati","Assistenza Domiciliare integrata Anziani, Residenza Sanitaria assistenziale per anziani, Residenza sanitaria Assistenziale per disabili",,,44.8217126,9.2050404,"(44.8217126, 9.2050404)"
IL PAGURO SOCIETA' COOPERATIVA SOCIALE ONLUS,Lodi,LO,037130162,info@ilpaguro.com,"Anziani, Disabili/Handicappati, Educativa, Famiglia, Minori","Altro, Riabilitazione specialistica ambulatoriale",,,45.3018925,9.4965819,"(45.3018925, 9.4965819)"
CASCINA BIANCA SOCIETA' COOPERATIVA SOCIALE,Olevano di Lomellina,PV,038451311,cascinabianca@ibero.it,"Detenuti, Disagio Giovanile, Minori, Tossicodipendenza",Comunità educative,,,,,
COOPERATIVA SOCIALE ERRE ESSE S.R.L.,Somma Lombardo,VA,0331914277,csrs@erreesse.191.it,,,"Agricola, Altro",Disabili,,,
PASSAMANO SOCIETA' COOPERATIVA SOCIALE - ONLUS IN LIQUIDAZIONE,Castel d'Ario,MN,0376228522,,,,"Recupero e vendita beni usati, Sgomberi locali",Disabili,45.1895018,10.9753681,"(45.1895018, 10.9753681)"
LABANDA COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA - ONLUS,Busto Arsizio,VA,0331680318,info@labandacoop.it,,,"Altro, Gestione bar","Tossicodipendenti, Alcooldipendenti",45.6211716,8.8425987,"(45.6211716, 8.8425987)"
ECO-LOGICA SOCIETA' COOPERATIVA SOCIALE,Capriano del Colle,BS,030-9749204,info@eco-logicabs.it,,,Manutenzione verde,Disabili,,,
SOCIETA' COOPERATIVA SOCIALE IL GIARDINONE,Locate di Triulzi,MI,0290732026,info@ilgiardinone.it,,,"Manutenzione verde, Pulizia ambienti, Servizi cimiteriali","Disabili, Pazienti psichiatrici, Tossicodipendenti, Alcooldipendenti",,,
LA TATA SOCIETA' COOPERATIVA SOCIALE,Cosio Valtellino,SO,3394373098,info@latata.it,"Anziani, Educativa, Famiglia, Minori","Altro, Animazione, Asilo Nido, Assistenza Pre e Post Scolastica",,,,,
PROGETTO '98 COOPERATIVA SOCIALE,Gallarate,VA,0331650955,progetto98libero.it,"Disabili/Handicappati, Psichiatria","Alloggi protetti, Centro socio educativo",,,,,
MAMA SI' SOCIETA' COOPERATIVA SOCIALE - ONULS,Como,CO,031540984,a.arcellaschi@alice.it,"Educativa, Famiglia, Minori","Asilo Nido, Formazione - Consulenza - Progettazione",,,45.83811937,9.03914519,"(45.83811937, 9.03914519)"
